1101,Abilene Christian
1102,Air Force
1103,Akron
1104,Alabama
1105,Alabama A&M
1106,Alabama St.
1107,Albany
1108,Alcorn St.
1110,American
1111,Appalachian St.
1112,Arizona
1113,Arizona St.
1114,Arkansas Little Rock
1115,Arkansas Pine Bluff
1116,Arkansas
1117,Arkansas St.
1119,Army
1120,Auburn
1122,Austin Peay
1123,Ball St.
1124,Baylor
1125,Belmont
1126,Bethune Cookman
1127,Binghamton
1128,Birmingham Southern
1129,Boise St.
1130,Boston College
1131,Boston University
1132,Bowling Green
1133,Bradley
1135,Brown
1136,Bryant
1137,Bucknell
1138,Buffalo
1139,Butler
1140,BYU
1141,Central Michigan
1142,Cal Poly
1143,California
1144,Campbell
1145,Canisius
1146,Central Arkansas
1147,Centenary
1148,Central Connecticut
1149,Charleston Southern
1150,Charlotte
1151,Chattanooga
1152,Chicago St.
1153,Cincinnati
1154,The Citadel
1155,Clemson
1156,Cleveland St.
1157,Coastal Carolina
1158,College of Charleston
1159,Colgate
1160,Colorado
1161,Colorado St.
1162,Columbia
1163,Connecticut
1164,Coppin St.
1165,Cornell
1166,Creighton
1167,Cal St. Bakersfield
1168,Cal St. Fullerton
1169,Cal St. Northridge
1170,Sacramento St.
1171,Dartmouth
1172,Davidson
1173,Dayton
1174,Delaware
1175,Delaware St.
1176,Denver
1177,DePaul
1178,Detroit
1179,Drake
1180,Drexel
1181,Duke
1182,Duquesne
1183,Eastern Illinois
1184,Eastern Kentucky
1185,Eastern Michigan
1186,Eastern Washington
1187,East Carolina
1188,SIU Edwardsville
1189,Elon
1190,East Tennessee St.
1191,Evansville
1192,Fairleigh Dickinson
1193,Fairfield
1194,Florida Atlantic
1195,Florida Gulf Coast
1196,Florida
1197,Florida A&M
1198,FIU
1199,Florida St.
1200,Fordham
1201,Fresno St.
1202,Furman
1203,George Washington 
1204,Georgia Southern
1205,Gardner Webb
1206,George Mason
1207,Georgetown
1208,Georgia
1209,Georgia St.
1210,Georgia Tech
1211,Gonzaga
1212,Grambling St.
1213,Grand Canyon
1214,Hampton
1216,Hartford
1217,Harvard
1218,Hawaii
1219,High Point
1220,Hofstra
1221,Holy Cross
1222,Houston
1223,Houston Baptist
1224,Howard
1225,Idaho
1226,Idaho St.
1227,Illinois Chicago
1228,Illinois
1229,Illinois St.
1230,Incarnate Word
1231,Indiana
1232,Indiana St.
1233,Iona
1234,Iowa
1235,Iowa St.
1236,IPFW
1237,IUPUI
1238,Jackson St.
1239,Jacksonville
1240,Jacksonville St.
1241,James Madison
1242,Kansas
1243,Kansas St.
1244,Kennesaw St.
1245,Kent St.
1246,Kentucky
1247,La Salle
1248,Lafayette
1249,Lamar
1250,Lehigh
1251,Liberty
1252,Lipscomb
1253,Long Beach St.
1254,LIU Brooklyn 
1255,Longwood
1256,Louisiana Tech
1257,Louisville
1258,Loyola Marymount
1259,Loyola MD
1260,Loyola Chicago
1261,LSU
1262,UMass Lowell
1263,Maine
1264,Manhattan
1265,Marist
1266,Marquette
1267,Marshall
1268,Maryland
1269,Massachusetts
1270,McNeese St.
1271,Maryland Eastern Shore
1272,Memphis
1273,Mercer
1274,Miami FL
1275,Miami OH
1276,Michigan
1277,Michigan St.
1278,Minnesota
1279,Mississippi
1280,Mississippi St.
1281,Missouri
1282,UMKC
1283,Missouri St.
1284,Monmouth 
1285,Montana
1286,Montana St.
1287,Morehead St.
1288,Morgan St.
1289,Morris Brown
1290,Mississippi Valley St.
1291,Mount St. Mary's
1292,Middle Tennessee
1293,Murray St.
1294,Northern Colorado
1295,North Dakota St.
1296,Northern Illinois
1297,Northern Kentucky
1298,Navy
1299,North Carolina A&T
1300,North Carolina Central
